01_F_001,2929.7,,,01_F_067,531.1
01_F_002,393.1,,,01_F_068,228
01_F_003,338.9,,,01_F_069,58
01_F_004,340.1,,,01_F_070,25.4
01_F_005,0.5,,,01_F_071,16.3
01_F_006,0.3,,,01_F_072,13.9
01_F_007,0.5,,,01_F_073,5.6
01_F_008,0.7,,,01_F_074,7.1
01_F_009,27.2,,,01_F_075,7
01_F_010,29.1,,,01_F_076,3
01_F_011,36.8,,,01_F_077,3.2
01_F_012,18.5,,,01_F_078,2.1
01_F_013,0.7,,,01_F_079,1.9
01_F_014,0.5,,,01_F_080,1.7
01_F_015,0.8,,,01_F_081,1.5
01_F_016,0.9,,,01_F_082,2.51
01_F_017,1.4,,,01_F_083,2.38
01_F_018,4.7,,,01_F_084,1.27
01_F_019,5.5,,,01_F_085,1.46
01_F_020,213.3,,,01_F_086,0.85
01_F_021,63.1,,,01_F_087,2.03
01_F_022,15,,,01_F_088,1.05
01_F_023,252.5,,,01_F_089,1.36
01_F_024,133,,,01_F_090,1.68
01_F_025,10.4,,,01_F_091,2.25
01_F_026,11.7,,,01_F_092,0
01_F_027,0.5,,,01_F_093,0
01_F_028,0.6,,,01_F_094,1.7
01_F_029,1.4,,,01_F_095,272.6
01_F_030,1.3,,,01_F_096,6.29
01_F_031,0.6,,,,
01_F_032,0.4,,,,
01_F_033,0.5,,,,
01_F_034,38.111,,,,
01_F_035,31.246,,,,
01_F_036,3.665,,,,
01_F_037,0.316,,,,
01_F_038,0.254,,,,
01_F_039,0.196,,,,
01_F_040,0.313,,,,
01_F_041,0.02,,,,
01_F_042,0.124,,,,
01_F_043,0.021,,,,
01_F_044,0.008,,,,
01_F_045,106.57,,,,
01_F_046,53.36,,,,
01_F_047,5.43,,,,
01_F_048,0.32,,,,
01_F_049,1.82,,,,
01_F_050,0.67,,,,
01_F_051,0.73,,,,
01_F_052,0.02,,,,
01_F_053,0.02,,,,
01_F_054,0.03,,,,
01_F_055,0.04,,,,
01_F_056,108.48,,,,
01_F_057,53.56,,,,
01_F_058,4.98,,,,
01_F_059,0.26,,,,
01_F_060,0.52,,,,
01_F_061,0.71,,,,
01_F_062,0.05,,,,
01_F_063,0.04,,,,
01_F_064,0.87,,,,
01_F_065,0.36,,,,
01_F_066,0.13,,,,
